"key","title","description","image_id"
"t3db","T3DB","The Toxin and Toxin Target Database (T3DB), or, soon to be referred as, the Toxic Exposome Database, is a unique bioinformatics resource that combines detailed toxin data with comprehensive toxin target information.","t3db_logo"
"drugbank","DrugBank","The DrugBank database is a comprehensive, freely accessible, online database containing information on drugs and drug targets.","drugbank_logo"
"phenolexplorer","Phenol-Explorer","Phenol-Explorer is the first comprehensive database on polyphenol content in foods. The database contains more than 35,000 content values for 500 different polyphenols in over 400 foods.","phenolexplorer_logo"
"lmdb","LMDB","The Livestock Metabolome Database (LMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in different livestock species. It is intended to be used for applications in metabolomics, clinical chemistry, biomarker discovery and general education.","lmdb_logo"
"ymdb","YMDB","The Yeast Metabolome Database (YMDB) is a manually curated database of small molecule metabolites found in or produced by Saccharomyces cerevisiae (also known as Baker???s yeast and Brewer???s yeast).","ymdb_logo"
"ecmdb","ECMDB","The ECMDB is an expertly curated database containing extensive metabolomic data and metabolic pathway diagrams about Escherichia coli (strain K12, MG1655).","ecmdb_logo"
"rmdb","RMDB","The Bovine Rumen Metabolome Database (RMDB) makes available tables containing the set of 246 ruminal fluid metabolites or metabolite species from the bovine ruminal fluid metabolome, along with their concentrations, related literature reference and links to their known diet associations.","rmdb_logo"
"bmdb","BMDB","The Bovine Metabolome Database (BMDB) The Bovine Metabolome Database (BMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in beef and dairy cattle.","bmdb_logo"
"mcdb","MCDB","The Milk Composition Database (MCDB) is a freely available electronic database containing detailed information about small molecule metabolites found in cow milk.","mcdb_logo"
"anpdb","ANPDB","To the best of our knowledge this is the largest database of natural products isolated from native organisms of Northern Africa. In a recent survey of the African flora, including sources from Northern Africa, it was shown that this part of the world could be a huge repository of bioactive NPs with diverse scaffolds and activities. Consequently, many NPs are used in traditional Northern African medicine.","nanpdb_logo"
"stoff","STOFF-IDENT","STOFF-IDENT is a database of water relevant substances collated from various sources within the STOFF-IDENT and FOR-IDENT projects, hosted by the Bavarian Environment Agency (Bayerisches Landesamt f??r Umwelt, LfU), the University of Applied Sciences Weihenstephan-Triesdorf (HSWT) and the Technical University of Munich (TUM).","stoff_logo"
"pamdb","PAMDB","The PAMDB is an expertly curated database containing extensive metabolomic data and metabolic pathway diagrams about Pseudomonas aeruginosa (reference strain PAO1).","pamdb_logo"
"mvoc","mVOC","The mVOC 2.0 Database is based on extensive literature search for microbial volatile organic compounds (mVOCs)","mvoc_logo"
"pharmgkb","PharmGKB","PharmGKB is a comprehensive resource that curates knowledge about the impact of genetic variation on drug response for clinicians and researchers.","pharmgkb_logo"
"reactome","Reactome","Reactome is a free, open-source, curated and peer-reviewed pathway database.","reactome_logo"
"metabolomicsworkbench","Metabolomics Workbench","The Metabolomics Workbench Metabolite Database contains structures and annotations of biologically relevant metabolites. As of August, 2020, the database contains about 136,000 entries, collected from public sources such as LIPID MAPS, ChEBI, HMDB, PubChem, NP Atlas , CHEMBL and KEGG. The Metabolite Database is integrated with the NMDR data repository, providing links to studies reporting each metabolite.","metabolomicsworkbench_logo"
"npa","Natural Products Atlas","The Natural Products Atlas is designed to cover all microbially-derived natural products published in the peer-reviewed primary scientific literature. This encompasses bacterial, fungal and cyanobacterial compounds, but does not include compounds from plants, invertebrates or other higher organisms unless these compounds have also been explicitly identified from a microbial source. Compounds from lichens and mushrooms and other higher fungi are included. Compounds from marine macro algae and diatoms are excluded.","npa_logo"
"markerdb","MarkerDB","MarkerDB is a freely available electronic database that attempts to consolidate information on all known clinical and a selected set of pre-clinical biomarkers into a single resource. The database includes five major types of biomarkers (condition-specific, protein, chemical, karyotypic and genetic) and four biomarker categories (diagnostic, predictive, prognostic and exposure).","markerdb_logo"
"cmmmediator","CEU Mass Mediator","(ONLINE ONLY) CEU Mass Mediator is a tool for searching metabolites in different databases (Kegg, HMDB, LipidMaps, Metlin, MINE and an in-house library).","cmmmediator_logo"
"magicball","MagicBall","Algorithm to predict molecular formula from m/z value","magicball"
"pubchem","PubChem","(VIA MAGICBALL) PubChem is the world's largest collection of freely accessible chemical information.","pubchem_logo"
"supernatural2","SUPER NATURAL II","(VIA MAGICBALL) A database of natural products. It contains 325,508 natural compounds (NCs), including information about the corresponding 2d structures, physicochemical properties, predicted toxicity class and potential vendors.","supernatural2_logo"
"chemidplus","ChemIDplus","(VIA MAGICBALL) ChemIDplus gives you access to structure and nomenclature authority files used to identify chemical substances cited in the National Library of Medicine?? (NLM) databases.","chemidplus_logo"
"chemspider","ChemSpider","(VIA MAGICBALL) A chemical structure database providing fast access to over 77 million structures, properties and associated information.","chemspider_logo"
"knapsack","KNApSAcK","(VIA MAGICBALL) The purpose of the KNApSAcK Metabolomics is to search metabolites from MS peak, molecular weight and molecular formula, and species.","knapsack_logo"
"custom","Custom","Please select to start your own database creation!","plus"
